time_of_day,track_name,artist_name
Evening,positions,Ariana Grande
Evening,Asfaltbarn,Magnus Uggla
Evening,Joey killer,Magnus Uggla
Evening,Efterfest,Magnus Uggla
Evening,Världen är din,Magnus Uggla
Evening,Tycker om dig,Magnus Uggla
Evening,emo girl (feat. WILLOW),mgk
Evening,twin flame,mgk
Evening,I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk
Evening,forget me too (feat. Halsey),mgk
Evening,Wannabe,Spice Girls
Evening,Affirmation,Savage Garden
Night,Counting Stars,OneRepublic
Night,Believe,Cher
Night,Gloria,Laura Branigan
Night,Välkommen in,Veronica Maggio
Night,Sunnanvind,Mares
Night,Hälsa Gud,Miss Li
Night,Hon dansar vidare i livet,Hov1
Night,KOMMER DU IHÅG?,Hooja
Night,Allt det vackra,Benjamin Ingrosso
Night,Känn En Doft Av Kärleken,Lisa Ajax
Night,Blommor där du står,GAMMAL
Night,100,Ana Diaz
Night,Till slutet av augusti,Moonica Mac
Night,The Kill,Thirty Seconds To Mars
Night,Helena,My Chemical Romance
Night,Imagine - Remastered 2010,John Lennon
Night,Wide Awake,Katy Perry
Night,Exorcist,Octatonez
Night,Clarity (Hardstyle),Connor Gallagher
Night,So What (Sped Up Edit),Mqx
Night,The Little Mushroom That Got Away,Sultan + Shepard
Night,Transcendence,Neolux
Night,Destination (A State of Trance 2024 Anthem),Armin van Buuren
Night,Palace In The Clouds,MYST
Night,Damage,Vini Vici
Night,Say Yes To Heaven - Anyma Remix,Lana Del Rey
Night,Rising Up,Brennan Heart
Night,Surrender,D-Charged
Night,Положение - 2 Remix,Dior
Night,Silence - KAAZE Mix,BLK RSE
Night,Frozen,Madonna
Night,Beyond The Wall - Original Mix,The Second Wave
Night,Blue Flame,Soman
Night,Apollo - Electro Mix,Astronaut
Night,Collide,BLVCK CROWZ
Night,Univerze - Extended Mix,Rebourne
Night,Lullabye - Tuz Remix,Uberjak'd
Night,All By Myself,Céline Dion
Morning,Allt det vackra,Benjamin Ingrosso
Morning,Känn En Doft Av Kärleken,Lisa Ajax
Morning,Blommor där du står,GAMMAL
Morning,100,Ana Diaz
Morning,Till slutet av augusti,Moonica Mac
Morning,I Miss You,blink-182
Morning,The Kill,Thirty Seconds To Mars
Morning,Helena,My Chemical Romance
Morning,Imagine - Remastered 2010,John Lennon
Morning,Wide Awake,Katy Perry
Morning,Break Your Heart,Taio Cruz
Morning,If Everyone Cared - 2020 Remaster,Nickelback
Morning,Kickstart My Heart,Mötley Crüe
Morning,Wake Me Up,Avicii
Morning,Crazy Train,Ozzy Osbourne
Morning,Burn,Ellie Goulding
Morning,Wagon Wheel,Darius Rucker
Morning,En riktig jävla schlager,Ravaillacz
Afternoon,Det kommer aldrig va över för mig,Håkan Hellström
Afternoon,Only The Dead Fish Follow The Stream,Louise Hoffsten
Afternoon,Trubaduren,Magnus Uggla
Afternoon,Lyssna till ditt hjärta,Friends
Afternoon,Glorious,Andreas Johnson
Afternoon,En sten vid en sjö i en skog,Gyllene Tider
Afternoon,Live Forever,Magnus Carlsson
Afternoon,Fat Lip,Sum 41
Afternoon,Face Down,The Red Jumpsuit Apparatus
Afternoon,Give Me Novacaine / She's a Rebel,Green Day
Afternoon,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
Afternoon,crushcrushcrush,Paramore
Afternoon,When You're Gone,Avril Lavigne
Afternoon,Keep Holding On,Avril Lavigne
Afternoon,Wish You Were Here,Avril Lavigne
Afternoon,Smile,Avril Lavigne
Afternoon,Hot,Avril Lavigne
Afternoon,Watermelon Sugar,Harry Styles
Afternoon,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding
Afternoon,Here With Me,Marshmello
Afternoon,Eyes Closed,Ed Sheeran
Afternoon,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Afternoon,Dance The Night - From Barbie The Album,Dua Lipa
Afternoon,Flowers,Miley Cyrus
Afternoon,Say Yes To Heaven,Lana Del Rey
Afternoon,Built This City - Radio Edit,D-Block & S-te-Fan
Afternoon,World Renowned,D-Block & S-te-Fan
Afternoon,God Is A DJ,D-Block & S-te-Fan
Afternoon,Ghost Stories,D-Block & S-te-Fan
Afternoon,Fired Up,D-Block & S-te-Fan
Afternoon,What's Love Got to Do with It,Kygo
Afternoon,Shape of You,Ed Sheeran
Afternoon,The Ocean (feat. Shy Martin),Mike Perry
Afternoon,Cold Ain't For Me,OCEANS
Afternoon,Cardio,Timmy Trumpet
Evening,Cardio,Timmy Trumpet
Evening,How To Save A Life (feat. loafers & The High),Timmy Trumpet
Evening,Feel It!,D-Block & S-te-Fan
Evening,Darkest Hour (The Clock),D-Block & S-te-Fan
Evening,Rave Into Space,Sub Zero Project
Evening,Obey No More,Sub Zero Project
Evening,Fire And Ice,MYST
Evening,Great Spirit - Wildstylez Remix,Armin van Buuren
Evening,Melody Of The Blade,Brennan Heart
Evening,Deep End - Shinovi Remix,STANDERWICK
Evening,Runaway,Armin van Buuren
Evening,Only A Heartbeat Away,Giuseppe Ottaviani
Evening,Coming Down,Withard
Evening,Infinity,Neolux
Evening,Silence - Brennan Heart Remix,Delerium
Evening,Superstring - Aftershock Remix,Cygnus X
Evening,Rave Love,W&W
Evening,Epic Sax Song,Adrenalize
Evening,Shabaka,Adrenalize
Evening,Here To Stay,Coone
Evening,Dragonborn part 3 (Oceans Apart),Headhunterz
Evening,Speaker Test - Pherato Remix,Justin Prime
Evening,Different State,Maddix
Evening,Enter Your Mind,D-Block & S-te-Fan
Evening,Music Of The Mind,Envine
Evening,Harder State Of Mind,D-Block & S-te-Fan
Evening,Inside My Head,Ghost Stories
Evening,Lyra - Broken Minds Remix,Korsakoff
Evening,Awaken,KELTEK
Evening,Feel Inside,D-Block & S-te-Fan
Evening,Time Machine,Sub Zero Project
Evening,Shock Therapy - Rising Altitude Mix,Splinta
Morning,Stay Mine - Gabry Ponte Remix,Timmy Trumpet
Evening,Obey No More,Warface
Evening,Fuck You,CeeLo Green
