time_of_day,track_name,artist_name,bpm
Afternoon,Destination (A State of Trance 2024 Anthem),Armin van Buuren,Medium
Afternoon,Palace In The Clouds,MYST,Medium
Afternoon,Damage,Vini Vici,High
Afternoon,Say Yes To Heaven - Anyma Remix,Lana Del Rey,Medium
Afternoon,Rising Up,Brennan Heart,Low
Afternoon,Surrender,D-Charged,Medium
Afternoon,Положение - 2 Remix,Dior,Medium
Afternoon,Silence - KAAZE Mix,BLK RSE,Medium
Afternoon,Frozen,Madonna,Medium
Afternoon,Beyond The Wall - Original Mix,The Second Wave,Medium
Afternoon,Blue Flame,Soman,Medium
Afternoon,Apollo - Electro Mix,Astronaut,Medium
Afternoon,Collide,BLVCK CROWZ,Medium
Afternoon,Univerze - Extended Mix,Rebourne,Medium
Afternoon,Lullabye - Tuz Remix,Uberjak'd,Medium
Afternoon,Save My Life (feat. Lovespeake),David Guetta,Medium
Afternoon,Born To Die - BLK RSE Mix,KAAZE,Medium
Afternoon,Close to You (feat. PollyAnna),Steve Aoki,Medium
Afternoon,Uprising,Uppermost,Medium
Afternoon,Halo,Vakhtang,Medium
Afternoon,Alchemy - ShockOne Remix,Blanke,Medium
Afternoon,Waveline,Lexurus,Medium
Afternoon,Eternity (feat. Lena Leon),Tchami,Medium
Afternoon,Infinity,Neolux,Low
Afternoon,HUMANS - VIP REMIX,GEN.KLOUD,Medium
Morning,Always,blink-182,Low
Evening,Always,blink-182,Low
Evening,Stockholm Syndrome,blink-182,Medium
Evening,DANCE WITH ME,blink-182,Medium
Evening,The Rock Show,blink-182,Medium
Evening,Wishing Well,blink-182,Low
Evening,Limitless,D-Sturb,High
Evening,LOVE THE WAY,Rooler,Medium
Evening,Still Happy,Vertile,Medium
Evening,Adrenaline Overload,Sound Rush,Medium
Evening,Blackout,Kronos,High
Evening,Shine,PENTAGON,High
Evening,PLAYING WITH FIRE,BLACKPINK,Medium
Evening,Creation of Earth,Thomas Bergersen,High
Evening,FRIENDS,Marshmello,Medium
Evening,no tears left to cry,Ariana Grande,Medium
Evening,Where Have You Been,Rihanna,Medium
Evening,"Whenever, Wherever",Shakira,Medium
Evening,Josefin,Albin Lee Meldau,Medium
Evening,Would I Lie To You? - Album Edit,Charles & Eddie,Medium
Evening,august,Taylor Swift,Medium
Evening,22 (Taylor's Version),Taylor Swift,Medium
Evening,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,Medium
Evening,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,Medium
Evening,Hits Different,Taylor Swift,Medium
Evening,Anti-Hero,Taylor Swift,Medium
Evening,All The Small Things,blink-182,Medium
Evening,Every Breath You Take,The Police,Medium
Evening,Drive - 2017 Remaster,The Cars,Low
Evening,Wind Of Change,Scorpions,Medium
Evening,Basket Case,Green Day,Medium
Evening,Mr. Brightside,The Killers,Medium
Evening,An Angel's Love,Alex M.O.R.P.H.,Low
Evening,Show Me the Meaning of Being Lonely,Backstreet Boys,High
Evening,Iris,The Goo Goo Dolls,Medium
Evening,We Found Love,Rihanna,High
Evening,Ghost,Justin Bieber,High
Evening,As It Was,Harry Styles,High
Evening,Bones,Imagine Dragons,Low
Evening,vampire,Olivia Rodrigo,Medium
Evening,Fast Car,Jonas Blue,Medium
Evening,In the Name of Love,Martin Garrix,Medium
Evening,Sugar (feat. Francesco Yates),Robin Schulz,Medium
Evening,Solo Dance,Martin Jensen,Medium
Evening,No Promises (feat. Demi Lovato),Cheat Codes,Medium
Evening,Twilight Zone - Edit,D-Block & S-te-Fan,Medium
Evening,Exorcist,Octatonez,High
Evening,'74-'75,The Connells,Medium
Evening,Welcome to the Black Parade,My Chemical Romance,Low
Evening,Blame It on Me,George Ezra,Medium
Evening,Dancing on My Own,Robyn,Medium
Evening,Royals,Lorde,High
Evening,The River,Good Charlotte,Medium
Evening,Dynamite,Taio Cruz,Medium
Evening,Du finns inom mig,Pelle Ankarberg,Medium
Evening,Vaggvisa (ute blåser sommarvind),Lill Lindfors,Medium
Evening,Vaggsång,Röda Bönor,Medium
Evening,Ser du månen där du är ikväll? (Tillsammans igen),Lilla Ärtan,Medium
Evening,Jämtländsk vaggvisa,Allan Edwall,Medium
Evening,Run Run Run - 2006 Remastered Version,Gyllene Tider,Medium
Evening,Jag och min far,Magnus Uggla,Medium
Evening,Still - Recorded at Spotify Studios Stockholm,Hov1,Medium
Evening,Se på mig,Jan Johansen,Medium
Evening,0 To 100 / The Catch Up,Drake,Medium
Evening,Kissing Strangers,DNCE,Medium
Evening,That's My Girl,Fifth Harmony,Low
Evening,I Can´t Go On,Robin Bengtsson,Medium
Evening,Power (feat. Stormzy),Little Mix,High
Evening,maybe (feat. Bring Me The Horizon),mgk,Medium
Evening,Bois Lie (feat. Machine Gun Kelly),Avril Lavigne,Medium
Evening,EDGING,blink-182,Medium
Evening,nothing inside (feat. iann dior),mgk,Medium
Evening,kiss kiss,mgk,Medium
Evening,Jag ljuger så bra,Linda Bengtzing,Medium
Evening,Här kommer alla känslorna (på en och samma gång),Per Gessle,Medium
Evening,Tusen och en natt,Charlotte Perrelli,Medium
Evening,"Sol, vind och vatten",Ted Gärdestad,Medium
Evening,Om,Niklas Strömstedt,High
Evening,You're The One That I Want - From “Grease”,John Travolta,Medium
Evening,Ex's & Oh's,Elle King,Medium
Evening,99 Luftballons,Nena,Medium
Evening,It's Raining Men - Single Version,The Weather Girls,Medium
Evening,The Show Must Go On - Remastered 2011,Queen,Medium
Evening,Timber,Pitbull,Medium
Evening,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,Medium
Evening,Picture Of You,Boyzone,Medium
Evening,My Life Would Suck Without You,Kelly Clarkson,High
Evening,Hips Don't Lie (feat. Wyclef Jean),Shakira,Medium
Evening,Superheroes,The Script,Medium
Evening,Yellow,Coldplay,Medium
Evening,Despacito,Luis Fonsi,High
Evening,Blinding Lights,The Weeknd,High
Evening,positions,Ariana Grande,Medium
Evening,Asfaltbarn,Magnus Uggla,Medium
Evening,Joey killer,Magnus Uggla,Medium
Evening,Efterfest,Magnus Uggla,Medium
Evening,Världen är din,Magnus Uggla,Medium
Evening,Tycker om dig,Magnus Uggla,Medium
Evening,emo girl (feat. WILLOW),mgk,Medium
Evening,twin flame,mgk,Medium
Evening,I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,Medium
Evening,forget me too (feat. Halsey),mgk,Medium
Evening,Wannabe,Spice Girls,High
Evening,Affirmation,Savage Garden,Medium
Night,Counting Stars,OneRepublic,High
Night,Believe,Cher,Low
Night,Gloria,Laura Branigan,Medium
Night,Välkommen in,Veronica Maggio,Medium
Night,Sunnanvind,Mares,Medium
Night,Hälsa Gud,Miss Li,Medium
Night,Hon dansar vidare i livet,Hov1,Medium
Night,KOMMER DU IHÅG?,Hooja,Medium
Night,Allt det vackra,Benjamin Ingrosso,Medium
Night,Känn En Doft Av Kärleken,Lisa Ajax,Medium
Night,Blommor där du står,GAMMAL,Medium
Night,100,Ana Diaz,High
Night,Till slutet av augusti,Moonica Mac,Medium
Night,The Kill,Thirty Seconds To Mars,High
Night,Helena,My Chemical Romance,Medium
Night,Imagine - Remastered 2010,John Lennon,Medium
Night,Wide Awake,Katy Perry,Medium
Night,Exorcist,Octatonez,High
Night,Clarity (Hardstyle),Connor Gallagher,Medium
Night,So What (Sped Up Edit),Mqx,Medium
Night,The Little Mushroom That Got Away,Sultan + Shepard,Medium
Night,Transcendence,Neolux,Medium
Night,Destination (A State of Trance 2024 Anthem),Armin van Buuren,Medium
Night,Palace In The Clouds,MYST,Medium
Night,Damage,Vini Vici,High
Night,Say Yes To Heaven - Anyma Remix,Lana Del Rey,Medium
Night,Rising Up,Brennan Heart,Low
Night,Surrender,D-Charged,Medium
Night,Положение - 2 Remix,Dior,Medium
Night,Silence - KAAZE Mix,BLK RSE,Medium
Night,Frozen,Madonna,Medium
Night,Beyond The Wall - Original Mix,The Second Wave,Medium
Night,Blue Flame,Soman,Medium
Night,Apollo - Electro Mix,Astronaut,Medium
Night,Collide,BLVCK CROWZ,Medium
Night,Univerze - Extended Mix,Rebourne,Medium
Night,Lullabye - Tuz Remix,Uberjak'd,Medium
Night,All By Myself,Céline Dion,Medium
Morning,Allt det vackra,Benjamin Ingrosso,Medium
Morning,Känn En Doft Av Kärleken,Lisa Ajax,Medium
Morning,Blommor där du står,GAMMAL,Medium
Morning,100,Ana Diaz,High
Morning,Till slutet av augusti,Moonica Mac,Medium
Morning,I Miss You,blink-182,High
Morning,The Kill,Thirty Seconds To Mars,High
Morning,Helena,My Chemical Romance,Medium
Morning,Imagine - Remastered 2010,John Lennon,Medium
Morning,Wide Awake,Katy Perry,Medium
Morning,Break Your Heart,Taio Cruz,Medium
Morning,If Everyone Cared - 2020 Remaster,Nickelback,Medium
Morning,Kickstart My Heart,Mötley Crüe,High
Morning,Wake Me Up,Avicii,Low
Morning,Crazy Train,Ozzy Osbourne,Medium
Morning,Burn,Ellie Goulding,Medium
Morning,Wagon Wheel,Darius Rucker,Medium
Morning,En riktig jävla schlager,Ravaillacz,Medium
Afternoon,Det kommer aldrig va över för mig,Håkan Hellström,Medium
Afternoon,Only The Dead Fish Follow The Stream,Louise Hoffsten,Medium
Afternoon,Trubaduren,Magnus Uggla,Medium
Afternoon,Lyssna till ditt hjärta,Friends,Medium
Afternoon,Glorious,Andreas Johnson,High
Afternoon,En sten vid en sjö i en skog,Gyllene Tider,Medium
Afternoon,Live Forever,Magnus Carlsson,Medium
